,0
0,638
1,616
2,617
3,618
4,620
5,621
6,622
7,623
8,624
9,625
10,626
11,627
12,629
13,635
14,638
15,616
16,617
17,618
18,619
19,620
20,621
21,622
22,623
23,624
24,625
25,626
26,627
27,628
28,629
29,630
30,634
31,635
32,639
33,640
34,596
35,600
36,601
37,602
38,609
39,610
40,611
41,612
42,613
43,614
44,615
45,616
46,617
47,618
48,619
49,620
50,621
51,622
52,623
53,624
54,625
55,626
56,627
57,628
58,629
59,630
60,631
61,633
62,634
63,635
64,636
65,637
66,641
67,642
68,595
69,596
70,597
71,598
72,600
73,601
74,602
75,603
76,604
77,609
78,610
79,611
80,612
81,613
82,614
83,615
84,616
85,617
86,618
87,619
88,620
89,621
90,622
91,623
92,624
93,625
94,626
95,627
96,628
97,629
98,630
99,631
100,632
101,633
102,634
103,635
104,636
105,637
106,638
107,639
108,640
109,591
110,595
111,596
112,597
113,598
114,599
115,600
116,601
117,602
118,603
119,604
120,609
121,610
122,611
123,612
124,613
125,614
126,615
127,616
128,617
129,618
130,619
131,620
132,621
133,622
134,623
135,624
136,625
137,626
138,627
139,628
140,629
141,630
142,631
143,632
144,633
145,634
146,635
147,636
148,637
149,638
150,639
151,640
152,641
153,642
154,591
155,592
156,593
157,594
158,595
159,596
160,597
161,598
162,599
163,600
164,601
165,602
166,603
167,604
168,605
169,606
170,607
171,608
172,609
173,610
174,611
175,612
176,613
177,614
178,615
179,616
180,617
181,618
182,619
183,620
184,621
185,622
186,623
187,624
188,625
189,626
190,627
191,628
192,629
193,630
194,631
195,632
196,633
197,634
198,635
199,636
200,637
201,638
202,639
203,640
204,641
205,642
206,644
207,645
208,590
209,591
210,592
211,593
212,594
213,595
214,596
215,597
216,598
217,599
218,600
219,601
220,602
221,603
222,604
223,605
224,606
225,607
226,608
227,609
228,610
229,611
230,612
231,613
232,614
233,615
234,616
235,617
236,618
237,619
238,620
239,621
240,622
241,623
242,624
243,625
244,626
245,627
246,628
247,629
248,630
249,631
250,632
251,633
252,634
253,635
254,636
255,637
256,638
257,639
258,640
259,641
260,642
261,643
262,644
263,645
264,646
265,647
266,590
267,591
268,592
269,593
270,594
271,595
272,596
273,597
274,598
275,599
276,600
277,601
278,602
279,603
280,604
281,605
282,606
283,607
284,608
285,609
286,610
287,611
288,612
289,613
290,614
291,615
292,616
293,617
294,618
295,619
296,620
297,621
298,622
299,623
300,624
301,625
302,626
303,627
304,628
305,629
306,630
307,631
308,632
309,633
310,634
311,635
312,636
313,637
314,638
315,639
316,640
317,641
318,642
319,643
320,644
321,645
322,646
323,647
324,648
325,590
326,591
327,592
328,593
329,594
330,595
331,596
332,597
333,598
334,599
335,600
336,601
337,602
338,603
339,604
340,605
341,606
342,607
343,608
344,609
345,610
346,611
347,612
348,613
349,614
350,615
351,616
352,617
353,618
354,619
355,620
356,621
357,622
358,623
359,624
360,625
361,626
362,627
363,628
364,629
365,630
366,631
367,632
368,633
369,634
370,635
371,636
372,637
373,638
374,639
375,640
376,641
377,642
378,643
379,644
380,645
381,646
382,647
383,648
384,649
385,589
386,590
387,591
388,592
389,593
390,594
391,595
392,596
393,597
394,598
395,599
396,600
397,601
398,602
399,603
400,604
401,605
402,606
403,607
404,608
405,609
406,610
407,611
408,612
409,613
410,614
411,615
412,616
413,617
414,618
415,619
416,620
417,621
418,622
419,623
420,624
421,625
422,626
423,627
424,628
425,629
426,630
427,631
428,632
429,633
430,634
431,635
432,636
433,637
434,638
435,639
436,640
437,641
438,642
439,643
440,644
441,645
442,646
443,647
444,648
445,649
446,589
447,590
448,591
449,592
450,593
451,594
452,595
453,596
454,597
455,598
456,599
457,600
458,601
459,602
460,603
461,604
462,605
463,606
464,607
465,608
466,609
467,610
468,611
469,612
470,613
471,614
472,615
473,616
474,617
475,618
476,619
477,620
478,621
479,622
480,623
481,624
482,625
483,626
484,627
485,628
486,629
487,630
488,631
489,632
490,633
491,634
492,635
493,636
494,637
495,638
496,639
497,640
498,641
499,642
500,643
501,644
502,645
503,646
504,647
505,648
506,649
507,650
508,653
509,588
510,589
511,590
512,591
513,592
514,593
515,594
516,595
517,596
518,597
519,598
520,599
521,600
522,601
523,602
524,603
525,604
526,605
527,606
528,607
529,608
530,609
531,610
532,611
533,612
534,613
535,614
536,615
537,616
538,617
539,618
540,619
541,620
542,621
543,622
544,623
545,624
